
10.548,0.200,-0.113
10.581,0.197,-0.116
10.615,0.191,-0.126
10.648,0.181,-0.141
10.681,0.161,-0.162
10.715,0.136,-0.185
10.748,0.102,-0.203
10.781,5.876E-2,-0.224
10.815,1.295E-2,-0.230
10.848,-3.769E-2,-0.228
10.882,-8.290E-2,-0.218
10.915,-0.121,-0.200
10.948,-0.153,-0.177
10.982,-0.176,-0.160
11.015,-0.191,-0.142
11.048,-0.198,-0.135
11.082,-0.197,-0.132
11.115,-0.191,-0.141
11.149,-0.177,-0.156
11.182,-0.157,-0.174
11.215,-0.132,-0.197
11.249,-9.496E-2,-0.216
11.282,-5.156E-2,-0.229
11.316,-4.535E-3,-0.236
11.349,4.369E-2,-0.231
11.382,8.891E-2,-0.218
11.416,0.122,-0.198
11.449,0.149,-0.176
11.482,0.170,-0.158
11.516,0.182,-0.143
11.549,0.187,-0.135
11.583,0.189,-0.135
11.616,0.182,-0.144
11.649,0.170,-0.159
11.683,0.152,-0.176
11.716,0.124,-0.193
11.749,9.071E-2,-0.215
11.783,4.852E-2,-0.229
11.816,3.905E-3,-0.234
11.850,-3.829E-2,-0.230
11.883,-8.049E-2,-0.220
11.916,-0.114,-0.203
11.950,-0.142,-0.183
11.983,-0.165,-0.165
12.016,-0.176,-0.153
12.050,-0.184,-0.147
12.083,-0.183,-0.148
12.117,-0.175,-0.155
12.150,-0.159,-0.172
12.183,-0.139,-0.189
12.217,-0.109,-0.208
12.250,-7.085E-2,-0.222
12.283,-2.684E-2,-0.230
12.317,1.596E-2,-0.235
12.350,5.997E-2,-0.230
12.384,9.795E-2,-0.217
12.417,0.130,-0.198
12.450,0.153,-0.181
12.484,0.171,-0.164
12.517,0.182,-0.153
12.551,0.183,-0.149
12.584,0.178,-0.153
12.617,0.169,-0.164
12.651,0.156,-0.178
12.684,0.135,-0.194
12.717,0.103,-0.210
12.751,6.781E-2,-0.230
12.784,2.500E-2,-0.235
12.818,-1.539E-2,-0.236
12.851,-5.819E-2,-0.229
12.884,-9.255E-2,-0.215
12.918,-0.125,-0.197
12.951,-0.149,-0.183
12.984,-0.163,-0.172
